uir emborcar
irresistente resistente
desorganizar entroixar
consolar inconfortar
agravar arrefecer
onerar desonerar
alvorejar enoitar
omitir olhar
uniformidade inconstância
desarquear arquear
aclarar entrevar
transparência opacidade
acomodação inadaptação
parado empregado
inconveniente próprio
enfear recamar
azougar calmar
desagastar enfurecer
ornamentado desadereçado
libertar agaturrar
amarrado desatado
alentado amarasmeado
desvalia valia
satisfazer embruscar
restabelecer desmelhorar
desafiar acuminar
desatar ligar
poder impotência
desgarrar ajuntar
honrado desairoso
escravizar redimir
mate fulguroso
desentrincheirar abarreirar
imprudência prudência
principiar enfenecer
desabraçar cilhar
locupletamento pauperização
aquebrantar avigorar
desarrumar ajeitar
prodigalidade pequenez
arranjado desacomodado
desraizar enraizar
descaminhar enviar
parco apreciável
singelo dissimulado
despiedar condoer
rubificar desmaiar
manente provisório
imodificável modificável
extenso comprimido
acalmar embravecer
posteriormente antes
malbaratar amealhar
aceitar enjeitar
amotinar serenar
corrutivo íntegro
destrinçar desgrenhar
díssono cadencioso
desembravecer encruentar
silenciar conversar
vaziar apojar
pusilânime destemeroso
modesto imponente
derrotado vitorioso
enfear embelezar
alumbrar entrevecer
atenuado vigoroso
animar desentonar
atipicidade usualidade
ajustado largo
melhoria debacle
simples soberbo
animalizar desmoitar
nebuloso claro
dissonante musical
correspondência inconformidade
inocentar recriminar
calado palavreiro
irremível resgatável
desconchegar entrouxar
teso froixo
gala singeleza
prezar adelgaçar
animar arrasar
ensoberbecer profanar
apercebido desprecatado
mobilizar prender
comunicabilidade inacessibilidade
vizinhar afastar
sociável reservado
avivar desvaecer
desacomodar desencrespar
desconvir aceitar
desamigar concubinar
irreprimível refreável
vetar sancionar
alvejar anoutar
alterar pacificar
sufocar palrar
coalhar liquidificar
desandar adiantar
desencortiçar dobrar
resfolgar cansar
desestruturar ordenar
feliz aborrecido
castigar compensar
gabar quartejar
desenfurecer enviperar
acalmar chispar
descompor aparamentar
incitar despavorir
conforme desencontrado
crescer estreitar
estremar soldar
desordenar acomodar
desencravar acravar
fugaz permanente
inconstitucionalidade legalidade
desabastecimento estocagem
destimidez acanhamento
novo macróbio
destrepar subir
dificultação desimpedimento
desemborrachar emborrachar
avanço decadência
setear gabar
inductilidade maleabilidade
desempachar atravancar
alargar apertar
corporalizar desincorporar
abstrair avizinhar
deslisar enrugar
assissado abilolado
valor acanhamento
desinchar estufar
adiantar delongar
quitute descarinho
temor destemor
enflorescer gorar
penitente relapso
desvitalizar temperar
venturoso malfeliz
alumbrar assetar
soltar pegar
engolir entesoirar
ditoso infausto
desquietar pacificar
descompor assazonar
desemperrar tesar
tácito expresso
descompor frear
proficiência improficuidade
embaçado flamíneo
desfavorável apropriado
desaparelhar aformosar
desenxovalhar apedrejar
repousar afadigar
acarminar desenrubescer
incomível manducável
aprisionamento soltura
derraigar enraizar
revinda egressão
desjeito donaire
destravar emperrar
desanexar agregar
derrotar orientar
derreter empedrenir
arrumar desmelhorar
estável bandeiro
despretensioso jactante
desajoujar amarrar
ocultar desencobrir
desgrudar conjungir
covarde valente
bençoar imprecar
desassanhar estomagar
brutificar humanizar
leste poente
medroso audacioso
desentrouxar envolver
entrada expulsão
bestializar domesticar
conjunto longe
palpável impalpável
engalanado desadereçado
ancorar desatracar
atrôo insonoridade
largo cainho
desoxidado ferrugento
obscuro sabido
decair adiantar
desequilibrar compensar
cotado trasvisto
doblez honestidade
afroixar inquerir
prosseguir descontinuar
desacovardar apavorar
desajudar prendar
desensandecer desatinar
desriçar maçarocar
destoucar sazonar
feliz jaruru
esvazar inflar
animar decepar
desapoiar anuir
enfraquecer retemperar
desabrigo abrigadoiro
desalinhar floretear
deleitação pesadume
admitir repugnar
desenodoar encarvoar
temperado rigoroso
prezar derrear
desenodoar sujar
apajear humilhar
desencoscorar engelhar
arrancar meter
desentristecer molestar
desembaciar apagar
heroificar depreciar
desamabilidade lhaneza
deslegitimar validar
constrangimento incoerção
puxar completar
transiente perdurável
deslisar avincar
união divisão
tempestuoso remansado
desnervar tonificar
desenxavido facecioso
desatestar apostar
desacatar dessaudar
descerimonioso cerimonioso
entesamento afofamento
paliar expirar
enrudecer limar
ardor tibieza
indecência decoro
vicejante seco
perturbação remanso
desfear colorear
acoimar desculpar
obrigado desconhecido
agilidade pachorra
fosco rutilante
lisonjear escarnecer
recuperar gastar
acafelar contar
precavido imprudente
estouvado ágil
remontar maleficiar
excitar desanuviar
desnecessidade essencialidade
desamarrotar manusear
emurchecer alegrar
disfarçar delatar
curto extenso
inobjetividade praticidade
dilatar emurchecer
resfolgar estafar
construir esfrangalhar
empolado chão
abalar apaziguar
sustentar baquear
desguarnecer embelezar
desembebedar inebriar
frágil imperecível
desmelindrar vulnerar
abrandar petrificar
iluminar aflechar
amanhado desadereçado
sujo puro
impotência saúde
desvezar usar
disferir contrair
brutificar policiar
teso lasso
desultrajar acouçar
desobstruir congestionar
bambear estrangular
uniformidade abnormidade
inacessível livre
precisão retardação
desaprovar sancionar
abeirar abduzir
descercar cingir
desenroscar rodilhar
simplificar complicar
arreado desataviado
corruptível incorruptível
intributável tributável
poltrão ousado
descompor acondicionar
clemência inumanidade
tresgastar amontoar
decoroso desonrado
endireitar vergar
descolorir colorizar
desagregar agrupar
indomesticado amestrado
engalenado desenfeitado
desvigorizar reforçar
embrandecer petrificar
acreditar desconfiar
remissão condenação
clarear denegrecer
desenfezar exaltar
desafogo aperto
enfraquecer avigorar
branco escuro
cauteloso imprevidente
despresunçoso ancho
reparar estragar
obstância desatravancamento
desagastar azedar
alumbrar desagaloar
aridez umidade
exumar sepultar
algente quente
abjugar encarcerar
afetividade ódio
dessujar encarvoejar
impropício idôneo
alentar desanimar
desprezado prezado
exacerbar emortecer
loucura sanidade
desagastar indignar
desalinhar arranjar
brutalizar limar
desenfezar escabritar
vencido vitorioso
incógnito notório
soltar adstringir
inteligível anfigúrico
desanojar desconfortar
acoimar escusar
americanófabo americófilo
desenfezar assanhar
romper vencer
inquietude repoiso
amolecer empedernir
desmedir frear
desemborrachar melar
essencial dispensável
deprimir invalescer
desfadigar esfalfar
largura estreitura
despercebimento recato
destoucar honestar
desaparelhar aprestar
tumultuado cômodo
livre indisponível
ida vinda
vermelhidão livor
desgrudar colar
êxtase mágoa
exórdio fecho
pontual inexato
extemporâneo oportuno
desassossegar aquietar
espalhar rebanhar
desentocar enlapar
desenlambuzar emporcalhar
desvincilhar envencilhar
alternação invariação
nascer finar
desenjoar enfezar
simples aparatoso
incerto inequívoco
desadornar tecer
ajaezado desataviado
improficiente profícuo
desbarbarizar bestializar
desencurvar avergar
desentaipar estorvar
bizarro gebo
disfarçar expor
antecessor herdeiro
desenfezar revoltar
artificial nativo
cariciar desfazer
lícito extralegal
pajear desprezar
eclosão extravio
alterar contentar
desassombrar ensombrar
desabafar represar
ortodoxo herético
civilizar bestializar
desentristecer contristar
educado indelicado
enervar fortificar
dadivoso esganado
desenfastiar causticar
denudação escondedura
inelegância elegância
conceituar desconceituar
piorar esmerilar
factível infatível
inconexão elo
desagravar profanar
falta provisão
implacidez pacificidade
mundificar emborralhar
estrear liquidar
mórbido saudável
imediato longe
embaçar alumiar
piedoso impiedoso
brutificar humanar
desigualar igualizar
animado arreado
erubescer desafoguear
vascolejar asserenar
alentar prostrar
alonginquar conjungir
sincero refalsado
ineptidão indústria
deleitação dor
migrar imigrar
inquietar abonançar
desajustar conjugar
descasar casar
disfarçar expirar
desenfeitar colorizar
denso raro
ornamentado desataviado
abrir atochar
largar filar
dadivoso avaro
reclusão livramento
alvorotar acalentar
inócuo deletério
espigar bromar
deformar plasmar
generoso tenaz
desaglomerar encher
estimular apavorar
unissonância variedade
desnorteio direção
dissimular expirar
descansar matar
desencaminhar propender
recepção desacolhimento
desenodoar enlaivar
rolar apressar
abonar desluzir
desenroscar enroscar
desamotinar rebelionar
alarmar aquietar
dissidir unir
adinamizar retemperar
desgoverno parcimônia
impossível possível
desabafar enroupar
agilidade delonga
destoar engrenar
arruir erguer
aumentar arrefecer
sobiar festejar
amotinar apaziguar
imprevisão suspeita
avaro ubertoso
circunspecto folgador
louvar detrair
estirpe procedência
disciplinamento indisciplinação
discrição publicidade
abreviação retarde
negligência diligência
negativa certificação
empedernido susceptível
encantar desenbruxar
eliminar adicionar
desábito sistema
apoético poético
desconjurar aceitar
educado mazorral
engordar delgaçar
esforçar estremecer
regrar desregrar
debilidade pujança
meter despontar
desadorar ratificar
compadecido despiedado
enfraquecer reforçar
antecessor herdador
remontar arruinar
desensinar educar
inconveniente pertinente
refrescar encalmar
fedorento fragrante
exultar susceptibilizar
viridente murcho
calmar enfezar
afim longínquo
encorajado desacorçoado
desentediar causticar
descativar subjugar
frouxo longânimo
inatural nativo
enobrecer desprimorar
aterrar dessoterrar
divergir afluir
desvigorar vigorar
ignorado notório
aventurado desfortunado
tranquilizar enviperar
precipitar pausar
desligar ativar
barulhoso silencioso
desobumbrar enturvar
cimo encosta
deprimir endurecer
majorar desvalorizar
quitar arrumar
denodo pejo
propugnar contradizer
desarmonia concórdia
benignidade maldade
desfadiga alquebramento
conjunto alongado
extremar desnobrecer
aventuroso infortunado
descombinar afinar
exacerbar minorar
paramentado desadornado
desembaraçado acovardado
catingante odorante
libar carecer
desendemoniar espinhar
interiormente fora
enredo desenlaçamento
enfraquecer robustecer
aprazamento indelimitação
dureza frouxidão
esperado ocasionário
convizinho recuado
enaltar desgabar
excepcional trivial
interrupção progressão
branco negrejante
condoído despiedoso
excecional batido
desembainhar broslar
sabedoria insciência
incentivar terrificar
civilidade boçalidade
prezar depreciar
dissipar acondutar
desencalmar marfar
relaxar matar
achegado afastado
desapiedar condoer
desapoquentar morder
embaciar alumiar
descercar envolver
desabituar avezar
desalinhavado apontado
modesto magnífico
acatamento desacatamento
desmerecer tingir
perturbar aquietar
espontaneidade afetação
postergar obedecer
afeiar enfeitar
descoroçoar aquecer
despontar aguçar
desensombrar nevoar
desaplicação desvelo
sufocar dessoterrar
adjeto afastado
vendagem aquisição
municiar desmunir
retesar lassear
avançado retrógrado
desembruscar cobrir
segredar disseminar
começar epilogar
multiplicidade unidade
anuência divórcio
abnormal regular
desanuviar turvar
escravizar redimir
despreguiçar dormir
finura rotundidade
guarnecido desapercebido
desempregar contratar
airoso deselegante
azougar achanar
perecedor imperecível
ir chegar
desacoplamento anexação
desprevenção apercebimento
acalmar enfurecer
veneração desacatamento
delapidar economizar
desguardar precaver
embrandecer enrijecer
desanuviar enevoar
contemplação desatenção
afear ajaezar
ignavo denodado
edificar destruir
continuidade interrupção
aplicado vadio
libertar disjungir
estirar afrouxar
conceituado desacreditado
desparecer surgir
direto recurvado
sedentário errante
desassossegar desalterar
congruidade discordância
desempregado empregado
aquebrantar retemperar
desencerrar confinar
descortesia trato
desalinhar entrouxar
imudável mutável
naturalização desnaturação
soporizar afortalecer
desarredondar redondear
linhagem prosápia
regrar descarrilhar
apertado desajustado
aforro prodigalidade
capaz inábil
desapadrinhar bafejar
desnivelar aplainar
satisfação desapontamento
definito indeciso
mixe apreciável
enaltecer desgabar
fleuma enleio
libertar acorrentar
sopetear falecer
baciado prefulgente
algidez queimor
desamabilidade docilidade
estimado malvisto
alvoroçar entristecer
atrelar destrelar
desabafar obstruir
desenfuscar eclipsar
desvincular ligar
demitir assalariar
alimpar encardir
desmembrar agrupar
declínio aumento
convulsionar apacificar
capaz amazelado
contente taciturno
despersuadir vencer
rofo fulgurante
união dissentimento
impotência potência
esconder despontar
desencapar entrouxar
desmotivar repruir
desarmar provisionar
desacompanhar tomar
despregar arrepanhar
recrescer amortificar
insípido gracioso
desaparecer repontar
desentulhar pejar
submissão indisciplina
congruidade incongruência
destrinchar enriçar
afoutar desesperar
desentoar afinar
distorcer torcer
baixar alcear
moleza escabrosidade
desanuviar cobrir
medra desmedramento
estugar retrasar
deprimir avigorar
neofobia progressismo
impróprio cabido
magnetismo repulsão
dispensar padecer
libertar oprimir
fácil molesto
unir desvincular
brandura escabrosidade
definibilidade dubiedade
encantar desenfeitiçar
embaçado fulgente
vazio superlotado
molificar inteiriçar
desastrado catita
desenlouquecer embebedar
diferente análogo
desaparecer exsurgir
desvencilhar prender
deturbar paziguar
impudicícia castidade
retesar esbambear
atear extinguir
aformoseado simples
condoído desapiedado
repousar estafar
indiretamente diretamente
desacautelar armar
capaz incompetente
desvincilhado emaranhado
fiel infiel
alentar achatar
alborotar desagradar
ambidestro anfarístero
alumiar rebaixar
preocupar serenar
perturbar elaborar
inflamar apagar
desafeitar floretear
reconhecimento desvalorização
difícil pérvio
desenvencilhado enredado
ordenado desarranjado
discernimento miopia
seguridade dúvida
tirar aconchegar
afoutar desesperançar
deleitação tristeza
desagasalho amparo
chegado remontado
confidenciar passear
engolir enceleirar
desinteresse interesse
seguro doloso
contemporão velho
gastar enceleirar
ousadia desvalor
decremento acúmulo
inquietar calmar
germanismo germanofobia
destoado afinado
desenlear enlear
impossível praticável
passar trazer
apressar retardar
desenfeitar aparamentar
arranjador desarranjador
desafronta aperto
desenfrenar suster
fidelidade traição
destroçar encentrar
intranquilizar achanar
selvagismo mansidão
destecedura urdimento
evitar trazer
deturbar descansar
desatravancado atravancado
perecedoiro imperecedor
vidrento flamíneo
ocultar desvelar
desavisar precatar
bambear acochar
decesso nascença
compacto vão
ignorante ciente
enviçado definhado
sinuosidade retitude
confidenciar preconizar
falsidade sinceridade
exacerbar comutar
amontoamento desfazimento
baciado fúlgido
desenevoar turvejar
esclarecer enegrecer
aclarecer denegrir
tocar distanciar
sauna geladeira
desapertar coatar
descrédito alta
educação grossaria
transtornar descansar
prescindir pedir
direito contrário
sofrer expandir
agravar refecer
desordenar mesurar
desbravecer postemar
desapadrinhar ajudar
cobrimento despimento
desanexar integrar
destreinar traquejar
desembalar embrulhar
nobreza abjeção
libertar clausurar
leste ocidente
devolver privar
desafeitar enfeitar
desriçar enredar
desornar aformosar
alargar arrochar
dessujar emporcalhar
engordar emagrecer
inércia ação
permanente provisório
arrojo poltronice
esticado relaxado
conjugar apartar
desanimar degelar
adaptação desajustamento
decomponibilidade irredutibilidade
desanimar acordar
mundificar nodoar
negar jurar
aprovar implicar
inquietar sedar
desultrajar afrontar
recender catingar
calçar descalçar
estugar retardar
irreverente venerabundo
enobrecer desenobrecer
desenfezar adormentar
escusar demandar
regozijar aflechar
energia enervação
afagar tripudiar
moderar desmanchar
entufar avilar
desenegrecer macular
conscientização desinformação
unir ablegar
embrandecer endurar
desguarnecer aparelhar
perecível imorredouro
acanhado varonil
dissimular patentear
desacorrentar acorrentar
despretensioso presunçoso
desobstruir ingurgitar
humildoso estrondoso
galonar macular
clemência subumanidade
desoprimir coatar
desofuscar enoitecer
vitória perda
impolidez delicadeza
prodigar economizar
rude cordial
consumado inconcluso
desbravecer encruar
destruir estruturar
enaltar setear
desastrado gracioso
dessiso circunspecção
curioso corrido
desenfastiar entediar
progresso profligação
adesivo inaderente
contentar ferir
pobre abonado
preso desgradeado
parcimônia prodigalidade
descançar enfraquecer
bom nocivo
desacoutar dissimular
escampado turvo
desmemoriar relembrar
malcheiroso odorante
avermelhamento descoramento
comunicativo inaccessível
turibular escarnecer
erubescer enlividecer
desconcertar temperar
importância inconsideração
recuperar estrompar
desatestar dizer
prêmio preço
abrir ingurgitar
tumultuar confeccionar
desagoniar amargar
desconcertar entrouxar
fugidio perdurável
ajavardar humanar
candongar zingrar
firmar descostar
corar empalidecer
acrescentar reduzir
mercável inegociável
desajustado junto
venenífero atóxico
desempestar pestiferar
fausto desgraçado
enleio desenleio
desconsolado bom
dilatar contrair
benignidade ruindade
continuar deixar
correspondência disparidade
insanidade siso
retido incontido
facultativo obrigatório
balordo limpo
desabrigo asilo
desábito hábito
alisar arrepanhar
coagular liquidificar
desapadrinhar apaniguar
seguimento inobservância
mascarar descobrir
enaltecer desdoirar
destemperar suster
alevantado descido
desacorde aprazível
validade caducidade
divergir concorrer
desvencilhado enrediço
comezinho fastuoso
direto concamerado
sujeitar ressalvar
esvaecer desonrar
vidrento fulgurante
desaprumar perfilar
desajoujar prender
entibiar avigorar
firme indeliberado
consistência friabilidade
sopitar afortalezar
inofensividade malvadez
entibiar substanciar
cobarde abarbarado
sereno nubloso
esconder manifestar
desornar decorar
desgrudar ligar
reagravar abrandar
distratar negociar
alvoroçar desalarmar
assear enlamear
ousadia cobardia
elevado camarada
aumentar temperar
escasseado considerável
descabido acômodo
desinibido pejado
alentar consumir
abusivo baixo
desbravecer arrebatar
descorado corado
construir subverter
mediocrizar enriquecer
aparição extravio
refazer escalavrar
vassalagem desrespeito
firmeza frouxura
envolver desenfaixar
economia prodigalização
algente bochornal
fofar avilar
virente mirrado
entusiasmar desalentar
desatemorizar aterrar
veneração desveneração
entornar amontoar
desembargo impedimento
inimizar entrosar
praticável inexequível
babujar postergar
unir rasgar
assear enlodar
interrompido aberto
insípido sápido
desatadura atadura
dessepulto sepulto
rude ameno
rigidez doçura
inamável desafetado
eficacíssimo ineficacíssimo
aclarar negrejar
desatordoar azoretar
elevado baixo
alisar esfazer
amolegar enrijecer
desmotivado baseado
malcheiroso olorado
facilitar enrodilhar
parco extravagante
desenlear enredar
perturbar abonançar
acelerar demorar
desenvergar encurvar
restituir desapropriar
emendar desliar
negligência desvelo
começar finar
desordenar frenar
desarrumar confeccionar
bastante insuficientemente
desagravar escoicear
decência torpeza
desencardir sujar
fracasso frutificação
inatural desartificioso
descaracterizar assinalar
destinatário remetente
aquebrantar vigorar
sujar apurar
desacovardar acobardar
punir laurear
desagastamento canseira
inábil habilitado
serenidade sanha
decremento acréscimo
desajeitar acondicionar
inconciliável patível
desnuviar escurecer
líquido confuso
desaparelhar colorear
desvigorar potencializar
retesar afrouxar
descarregar obrigar
assanho decência
conturbação remanso
declinação subimento
estreito amplo
fortuna penúria
incentivar terrorizar
polígamo unígamo
antiético ético
notoriedade impopularidade
desestimular motivar
esticar deslassar
fazer derrocar
construir derrocar
irreverenciosamente reverenciosamente
invencível superável
condenar placitar
desenvoltura flegma
caluniar enaltar
triunfar chocar
ignavo impávido
desagasalhar enroupar
acostado desencostado
deformar modelar
consternado consolado
desenfurecer embespinhar
elevar desmantelar
imprudência circunspecção
alumiar setear
frutífero infrutífero
vizinho longe
descoser debruar
consistência inconsistência
desabastar munir
engalenado singelo
desacoitar refugiar
enobrecimento empobrecimento
abono desaprovação
desmortificar agonizar
desacautelar acautelar
desregular ajustar
corruptibilidade integridade
ajavardar desmoitar
querença animadversão
conforto desconforto
desafinar adregar
confortabilidade descomodidade
acariciar desdenhar
desacolhimento aprovação
friúra ardor
extinguir condutar
intranquilizar calmar
inarmônico mélico
descobrir turvar
desacreditar encomiar
fugitivo perdurável
evolução regressão
alisar ababadar
desinjuriar acoucear
sensatez desatino
alegre carifranzido
definhar vicejar
despreparo precogitação
alongar epitomar
desprecatar prevenir
insensatez precaução
soltar emprisionar
alvorotar desagradar
despovoado habitado
desenxavido faceto
cuidadoso desprecavido
endireitar dobrar
desagastar endemoninhar
modéstia jatância
esticar desentesar
entrar complementar
alborotar susceptibilizar
crédito desconsideração
encaracolar desencanudar
proteção insegurança
catingante olorante
indelicado afetuoso
frígido queimoso
desairoso airoso
refletido imponderado
aptidão inidoneidade
culto desalumiado
consolar consumir
acafelar expirar
onerar eximir
enobrecer desvirtuar
fedido balsâmico
infindo finito
dispersar encentrar
aclamação vaia
regenerar avariar
sustentar desfalecer
desentenebrecer desafamar
desanular aniquilar
emudecer comentar
singelo dobrado
descostume uso
deselegância distinção
ajuntamento desfazimento
desensandecer endoidecer
soterrar desenterrar
perecível imortal
começar completar
froixo corajudo
desataviar enflorear
reanimar sedar
lentígrado citígrado
desofuscar entenebrecer
faltar sobreabundar
desembrenhar engolfar
secreto propalado
caseiro principesco
desimobilizar cristalizar
dobramento desdobramento
abafar dessoterrar
esquipado desapercebido
evitar captar
escravizar remir
esperado inesperado
concordância desarmonia
desenfadar enjoar
crendeirice descrença
bloqueado desingurgitado
aproximar desaconchegar
indígena vindiço
desentristecer aleijar
desembrulhado empapelado
prorrogável impreterível
desimpedir barrar
abafado irrefreado
incensar desfazer
recado indiscrição
decremento adição
entuchar dizer
proveito inutilidade
aditado malventuroso
recrescer malear
chaleirar desdenhar
desaire torneio
pusilânime alentoso
prezar deprimir
desvencilhar ligar
contrafazer desenterrar
desentranhar embrenhar
aplicação desuso
desacautelar cuidar
solidificar liquefazer
tardonho célere
desadornar exornar
considerar empalidecer
desenxabido saboroso
destinatário expedidor
resistência insubsistência
apor acantoar
desescurecer desafamar
desencruar fumar
desmagnetizar imanizar
atumultuar acondicionar
estoicismo suavidade
tocar afastar
deslodar enlaivar
desacomodar dispor
dissemelhante assemelhado
benigno maldoso
formoso malparecido
irreverentemente reverentemente
magreza obesidade
carminar desafoguear
desalinhar galantear
desgelar solidar
desconexão afinidade
prostrar esforçar
estimular terrificar
tranquilizar estomagar
compatibilidade discordância
desabastecer munir
deslisar riçar
contrição impenitência
languescer arrijar
habilidade inidoneidade
civilizar embrutecer
esquentamento arrefecimento
magreza adiposidade
dissociabilidade irredutibilidade
prezar relegar
abençoado desaventurado
cansar reforçar
catingudo odorífico
alvorescer anoitecer
esfíngico claro
cuidadoso imprecatado
desempachar obstruir
restringência incondicionalidade
